,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068
0,934.54,938.92,891.07,838.46,825.01,806.83,798.73,773.96,728.25,688.23,640.57,572.51,561.96,537.28,531.25,541.57,528.77,498.15,512.69,505.65,498.06,462.2,491.16,471.33,435.65,462.48,436.01,419.86,423.93,404.47,370.85,368.26,347.3,362.81,335.54,354.33,358.5,352.54,306.36,306.59,299.75,293.39,287.09,281.14,275.44,269.74,264.55,259.73,255.18,250.92,246.58,242.33,238.42,234.73,231.22,227.84,224.53,221.41,218.68,215.93,213.15,210.52,208.15,205.67,203.13,200.68,198.29,196.09,193.67,191.3,189.08,186.63,184.27,182.3,180.17,177.86,175.74,173.65,171.58,169.55,167.4,165.32,163.52,161.67,159.77,157.85,155.75,153.84
1,68.44,65.51,66.2,77.87,67.38,66.72,60.96,56.16,60.2,56.1,49.09,44.7,49.38,47.31,44.44,38.86,43.61,38.86,31.35,34.65,35.87,39.06,37.21,36.89,39.63,30.72,32.86,24.57,31.35,30.73,25.86,30.25,21.76,26.75,27.11,17.45,24.03,30.54,30.45,29.88,29.25,28.8,28.23,27.73,27.26,26.63,26.18,25.58,25.1,24.85,24.47,24.18,23.75,23.22,23.17,22.73,22.17,21.8,21.53,21.4,21.05,20.75,20.65,20.43,20.31,20.26,19.96,19.81,19.39,18.95,18.57,18.14,18.14,18.15,17.85,17.72,17.51,17.24,17.2,17.14,17.01,16.76,16.49,16.22,15.93,15.69,15.4,15.05
2,42.43,34.05,36.87,37.59,37.93,39.44,34.46,25.84,35.19,28.97,26.49,29.22,23.3,30.04,25.1,25.35,31.45,16.52,21.87,17.21,24.05,20.06,17.22,20.57,18.2,20.41,18.96,12.58,16.39,11.23,13.84,14.16,12.47,15.83,14.46,8.64,14.64,14.6,14.33,13.99,13.73,13.41,12.97,12.67,12.44,12.21,12.05,11.81,11.56,11.45,11.25,11.04,10.9,10.75,10.67,10.5,10.32,10.15,9.98,9.9,9.83,9.71,9.6,9.51,9.36,9.23,9.18,9.13,8.95,8.85,8.82,8.71,8.6,8.48,8.36,8.23,8.09,7.95,7.87,7.78,7.69,7.67,7.57,7.4,7.3,7.26,7.16,7.05
3,26.39,28.34,25.89,28.98,32.45,28.07,27.0,19.75,21.94,22.4,17.95,18.78,15.63,17.67,16.2,17.6,20.63,19.15,12.18,16.8,14.39,13.1,14.84,15.99,16.9,15.4,13.82,11.09,11.93,12.04,12.33,11.29,9.27,9.14,10.32,8.17,8.02,7.72,7.58,7.4,7.19,6.99,6.86,6.71,6.56,6.56,6.4,6.25,6.24,6.07,5.89,5.87,5.83,5.79,5.6,5.4,5.35,5.3,5.25,5.21,5.17,5.14,5.12,5.04,4.96,4.9,4.84,4.78,4.72,4.75,4.7,4.57,4.52,4.54,4.55,4.41,4.27,4.27,4.27,4.27,4.26,4.17,4.01,3.93,3.91,3.89,3.88,3.86
4,19.8,27.51,21.91,23.09,26.11,18.68,20.81,14.98,15.64,13.44,13.83,12.81,12.87,10.55,10.78,14.69,14.31,15.47,14.72,13.71,6.82,12.39,10.11,13.71,13.7,10.14,10.18,9.3,8.69,7.69,7.23,9.29,8.37,4.82,7.24,7.11,6.8,6.69,6.53,6.35,6.22,6.1,5.96,5.81,5.74,5.66,5.51,5.43,5.34,5.18,5.08,5.06,5.03,4.92,4.81,4.77,4.73,4.61,4.49,4.46,4.42,4.4,4.38,4.37,4.3,4.23,4.17,4.11,4.13,4.07,4.02,3.97,3.91,3.92,3.86,3.8,3.8,3.73,3.66,3.65,3.65,3.57,3.48,3.47,3.46,3.44,3.43,3.34
5,17.44,18.95,15.68,20.78,13.51,17.7,11.64,14.39,14.44,16.42,11.18,11.63,12.87,11.17,11.76,12.75,12.02,12.81,10.08,7.67,10.54,9.26,9.76,11.4,8.26,7.35,10.14,8.97,6.91,6.78,5.53,7.06,10.26,6.82,6.77,6.58,6.47,6.36,6.19,6.01,5.88,5.75,5.62,5.47,5.4,5.32,5.17,5.09,5.01,4.92,4.83,4.73,4.7,4.67,4.64,4.6,4.48,4.37,4.33,4.29,4.26,4.24,4.22,4.14,4.07,4.0,3.94,3.95,3.89,3.84,3.78,3.73,3.74,3.76,3.7,3.63,3.57,3.49,3.42,3.34,3.34,3.26,3.17,3.16,3.15,3.14,3.05,2.97
6,17.08,16.64,16.94,16.2,15.98,15.53,14.08,12.58,12.32,14.01,10.59,12.51,11.62,8.71,13.34,10.79,10.69,11.47,10.37,10.3,9.13,9.24,8.06,8.78,7.95,9.46,8.02,8.34,6.87,7.03,7.43,6.76,6.47,6.43,6.25,6.12,6.01,5.89,5.71,5.6,5.47,5.35,5.21,5.06,5.06,4.91,4.76,4.76,4.75,4.59,4.42,4.4,4.38,4.35,4.32,4.28,4.24,4.2,4.16,4.13,4.1,4.08,3.99,3.84,3.77,3.77,3.78,3.72,3.59,3.47,3.41,3.43,3.44,3.38,3.32,3.26,3.19,3.12,3.04,3.04,2.96,2.88,2.87,2.86,2.78,2.7,2.69,2.67
7,17.7,14.33,13.34,15.84,12.22,11.49,9.79,11.68,8.71,11.03,11.47,8.33,8.88,11.2,9.49,8.51,8.75,10.17,6.78,8.26,7.74,7.16,8.71,4.88,7.91,6.08,9.45,8.3,5.69,7.28,6.02,6.03,6.03,5.85,5.66,5.54,5.42,5.28,5.17,5.05,4.99,4.87,4.73,4.74,4.58,4.43,4.43,4.43,4.35,4.11,3.95,3.93,3.91,3.88,3.85,3.82,3.79,3.75,3.72,3.69,3.66,3.64,3.56,3.41,3.34,3.34,3.35,3.29,3.16,3.1,3.04,2.99,3.0,3.01,2.95,2.88,2.81,2.74,2.74,2.74,2.73,2.73,2.72,2.64,2.56,2.55,2.53,2.52
8,11.88,13.33,13.96,13.24,10.33,10.87,9.17,8.68,9.61,8.34,10.57,10.72,14.07,9.59,8.8,7.84,6.54,11.4,6.1,8.55,6.36,11.56,5.03,6.48,7.57,6.65,7.94,3.7,7.37,6.41,5.58,5.6,5.46,5.27,5.15,5.1,4.97,4.82,4.63,4.51,4.45,4.32,4.26,4.18,4.03,3.96,3.96,3.96,3.8,3.64,3.55,3.46,3.44,3.42,3.4,3.37,3.34,3.31,3.28,3.25,3.23,3.21,3.13,3.05,3.05,2.98,2.92,2.93,2.94,2.88,2.82,2.83,2.78,2.71,2.72,2.66,2.59,2.59,2.59,2.59,2.51,2.43,2.42,2.42,2.41,2.4,2.39,2.31
9,14.43,15.57,14.92,10.0,11.89,8.38,11.6,11.67,10.2,8.91,8.81,10.12,8.22,9.23,6.25,8.13,4.96,7.24,10.22,10.79,7.33,6.11,6.67,6.45,7.22,6.92,7.31,4.26,7.34,5.27,5.29,5.17,5.03,4.91,4.86,4.8,4.67,4.44,4.31,4.27,4.13,4.08,4.01,3.79,3.64,3.64,3.64,3.57,3.49,3.4,3.32,3.3,3.28,3.26,3.24,3.21,3.18,3.15,3.12,3.1,3.08,3.06,2.98,2.9,2.83,2.76,2.77,2.78,2.79,2.8,2.74,2.61,2.55,2.56,2.57,2.58,2.58,2.51,2.44,2.36,2.29,2.28,2.27,2.27,2.26,2.25,2.24,2.23
10,14.08,11.03,14.93,10.96,12.5,9.31,14.04,8.38,14.07,11.01,7.35,12.14,11.53,8.29,8.42,7.15,12.33,7.21,7.63,7.15,3.98,7.77,9.62,6.74,5.62,5.99,4.08,7.62,5.32,5.39,5.27,5.15,5.01,4.89,4.77,4.65,4.58,4.57,4.44,4.33,4.34,4.21,4.0,3.93,3.93,3.85,3.7,3.63,3.55,3.47,3.45,3.36,3.27,3.25,3.23,3.2,3.17,3.14,3.11,3.09,3.07,2.98,2.9,2.89,2.89,2.89,2.83,2.77,2.78,2.72,2.66,2.67,2.61,2.55,2.56,2.57,2.5,2.43,2.43,2.43,2.42,2.34,2.27,2.26,2.25,2.24,2.23,2.22
11,9.58,9.72,10.05,13.84,7.8,8.99,12.2,13.73,11.99,12.19,6.73,10.62,7.27,8.87,9.3,9.58,8.59,9.99,6.64,8.74,5.28,7.73,4.29,5.42,8.38,7.75,5.8,5.79,5.79,5.64,5.52,5.4,5.26,5.08,4.96,4.98,4.92,4.76,4.65,4.61,4.55,4.42,4.36,4.36,4.29,4.22,4.14,3.99,3.91,3.9,3.82,3.72,3.7,3.68,3.58,3.48,3.45,3.42,3.38,3.36,3.33,3.25,3.16,3.16,3.16,3.09,3.03,2.97,2.91,2.92,2.93,2.87,2.75,2.69,2.69,2.7,2.7,2.7,2.7,2.7,2.55,2.41,2.4,2.39,2.38,2.37,2.36,2.35
12,13.08,13.28,12.95,9.0,11.85,16.42,13.39,9.26,10.79,10.99,15.46,12.97,12.39,9.43,12.63,7.7,9.78,9.01,9.44,9.66,6.24,5.01,7.21,6.98,8.64,4.74,6.63,6.54,6.32,6.17,6.04,5.91,5.78,5.67,5.56,5.44,5.31,5.17,5.14,5.11,4.97,4.92,4.86,4.8,4.8,4.72,4.57,4.5,4.49,4.48,4.47,4.45,4.35,4.18,4.08,4.04,4.01,3.97,3.93,3.9,3.81,3.72,3.7,3.69,3.69,3.62,3.49,3.43,3.45,3.46,3.41,3.28,3.23,3.24,3.18,3.04,2.98,2.98,2.98,2.9,2.83,2.82,2.81,2.8,2.72,2.64,2.63,2.62
13,15.29,15.19,13.58,14.44,13.7,11.12,11.25,8.96,12.58,9.78,11.96,13.24,12.64,10.88,11.05,10.74,7.9,7.73,8.77,8.01,10.13,12.28,7.5,6.63,7.67,7.84,7.82,7.56,7.33,7.1,6.95,6.81,6.62,6.4,6.29,6.24,6.13,6.08,6.0,5.82,5.76,5.64,5.51,5.52,5.45,5.3,5.23,5.22,5.22,5.13,5.04,4.95,4.85,4.82,4.78,4.75,4.7,4.66,4.62,4.58,4.48,4.39,4.37,4.36,4.29,4.22,4.16,4.1,4.12,4.07,4.02,3.96,3.91,3.85,3.73,3.59,3.53,3.53,3.53,3.52,3.52,3.51,3.43,3.28,3.2,3.18,3.17,3.16
14,17.82,20.66,15.51,13.46,14.29,14.23,11.86,18.2,14.64,10.99,13.69,12.3,13.17,8.42,12.83,14.95,9.38,9.55,11.54,12.43,11.37,10.23,9.08,8.78,9.29,9.28,9.06,8.78,8.47,8.29,8.13,7.91,7.73,7.59,7.43,7.24,7.08,6.99,6.85,6.75,6.62,6.51,6.46,6.31,6.24,6.17,6.1,6.1,6.02,5.85,5.76,5.74,5.71,5.67,5.63,5.59,5.54,5.48,5.44,5.25,5.08,5.05,5.03,5.02,5.02,4.88,4.76,4.77,4.79,4.74,4.62,4.57,4.59,4.54,4.41,4.35,4.36,4.29,4.22,4.21,4.21,4.13,4.04,4.03,3.94,3.86,3.84,3.83
15,22.86,26.75,16.79,19.2,13.71,18.2,13.07,14.54,17.57,12.72,16.24,12.51,14.55,14.31,15.48,9.38,11.75,11.04,13.64,15.84,11.29,8.86,12.89,10.87,10.84,10.63,10.37,10.06,9.81,9.61,9.42,9.26,9.04,8.78,8.55,8.37,8.22,8.09,7.98,7.75,7.62,7.51,7.39,7.4,7.25,7.11,7.11,7.03,6.88,6.79,6.77,6.67,6.56,6.52,6.47,6.42,6.36,6.3,6.18,6.06,6.02,5.92,5.83,5.81,5.74,5.61,5.55,5.57,5.52,5.41,5.36,5.38,5.27,5.15,5.16,5.1,4.97,4.9,4.9,4.9,4.82,4.74,4.72,4.64,4.55,4.53,4.51,4.42
16,23.77,31.86,21.28,20.83,25.09,24.37,19.31,23.3,21.29,18.29,18.7,13.54,17.93,16.86,12.02,11.16,12.61,17.99,15.1,13.85,16.03,13.7,12.56,12.52,12.21,11.89,11.6,11.33,11.06,10.79,10.57,10.34,10.13,9.96,9.8,9.62,9.5,9.33,9.1,8.95,8.83,8.73,8.61,8.47,8.4,8.33,8.18,8.03,7.88,7.79,7.69,7.58,7.47,7.35,7.3,7.24,7.18,7.11,7.05,6.99,6.88,6.77,6.68,6.6,6.53,6.4,6.34,6.36,6.24,6.13,6.16,6.05,5.94,5.96,5.84,5.71,5.72,5.65,5.58,5.5,5.42,5.41,5.32,5.24,5.22,5.2,5.11,5.02
17,29.14,31.19,22.35,26.43,25.98,23.23,21.55,23.36,24.75,24.29,20.19,17.06,22.72,16.64,16.45,12.02,15.21,15.12,14.66,15.3,14.29,14.32,14.23,13.91,13.49,13.13,12.87,12.58,12.3,12.01,11.71,11.53,11.33,11.05,10.83,10.73,10.55,10.41,10.28,10.13,10.02,9.78,9.66,9.6,9.46,9.38,9.24,9.02,8.94,8.84,8.74,8.63,8.52,8.39,8.26,8.2,8.12,8.05,7.98,7.92,7.86,7.62,7.39,7.37,7.3,7.17,7.11,7.07,6.96,6.92,6.81,6.7,6.73,6.62,6.5,6.44,6.31,6.25,6.24,6.17,6.09,6.0,5.92,5.9,5.81,5.72,5.69,5.67
18,28.57,38.46,27.84,27.24,25.34,26.23,26.43,26.39,24.68,25.88,22.3,21.35,17.72,15.35,18.12,20.81,20.62,21.51,19.94,20.68,15.9,15.7,15.36,15.02,14.65,14.33,13.97,13.66,13.37,13.07,12.88,12.62,12.31,12.05,11.83,11.66,11.51,11.32,11.14,11.0,10.81,10.65,10.54,10.41,10.34,10.19,10.05,10.05,9.89,9.73,9.7,9.58,9.39,9.26,9.2,9.12,9.04,8.96,8.82,8.68,8.49,8.31,8.27,8.19,8.05,7.99,7.94,7.82,7.72,7.55,7.44,7.41,7.3,7.19,7.07,6.95,6.89,6.9,6.82,6.68,6.6,6.58,6.56,6.4,6.24,6.22,6.19,6.17
